scene_id,environment_class,special_condition,road_type,nominal_speed_kmh,speed_semantics,human_description,metadata_source,annotation_source_file,annotation_method,annotation_version,environment_verified,source_file,source_file_sha256,schema_version
F1023_V120_D0121_P2,Highway/Open,high speed highway environment,highway,120,human_measurement_description,High-speed highway,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0117_P2,Mountain/Valley,valley terrain,valley road,70,human_measurement_description,Valley road,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0117_P4,Mountain/Valley,mountain ascending road,mountain ascending road,70,human_measurement_description,Mountain ascending road,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0120_P1,Urban,high-rise buildings,urban road,70,human_measurement_description,Urban road with high-rise buildings,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0120_P5,Urban,low-rise residential area,urban residential road,70,human_measurement_description,Ordinary urban road with low-rise residential buildings,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0120_P7,Urban,tram infrastructure and moving tram,urban tram road,70,human_measurement_description,Urban tram road with moving tram,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0120_P8,Urban,general urban road,urban road,70,human_measurement_description,General urban road,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0120_P9,Special Reflective,bridge over wide water surface,bridge over water,70,human_measurement_description,Bridge over wide water surface,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0122_P1,Urban,street environment,urban street,70,human_measurement_description,Urban street,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V70_D0122_P2,Special Reflective,"railway, communication tower and vegetation",urban road near railway,70,human_measurement_description,"Urban road near railway, communication tower and dense vegetation",human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_V80_D0117_P8,Highway/Open,open road,open road,80,human_measurement_description,Open road,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_v50_D0127_P1,Urban,rain condition,urban road,50,human_measurement_description,Urban road under rain,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
F1023_v90_D0117_P7,Mountain/Valley,open mountain winding road,open mountain winding road,90,human_measurement_description,Open mountain winding road,human_measurement_description,dataset_generation_logs/production_planning_10mhz_20260812/scene_environment_annotation_list.csv,human_annotation_import,scene_environment_annotation_list_v1,1,dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv,dd2ed29cac6bb2eee4074752ec89af85baf6a6e37479b30e39f89222aaaa23db,sage-event-context-alignment-v1
