claim_id,section,claim_text_or_summary,reference_needed,reference_category,candidate_reference,verification_source,metadata_verified,citation_inserted,notes
CV-01,Introduction,"GNSS multipath can affect tracking, ranging, carrier/pseudorange measurements, and positioning in dynamic environments",YES,R1/R2,"eissfeller1996gpsdynamic; mora1998multipath; beitler2015cmcd","ION publication records: https://www.ion.org/publications/abstract.cfm?articleID=2604; https://www.ion.org/publications/abstract.cfm?articleID=3042; https://www.ion.org/publications/abstract.cfm?articleID=12644",YES,YES,"Supports impact and dynamic/vehicular context; does not support the paper's own results."
CV-02,Introduction,"Changing motion and propagation geometry make dynamic multipath time-varying",YES,R2,"eissfeller1996gpsdynamic; mora1998multipath; beitler2015cmcd","ION publication records listed for CV-01",YES,YES,"The wording remains qualitative and does not claim a universal law."
CV-03,Introduction,"C/N0 or SNR, pseudorange residuals, and positioning error are receiver-level indicators rather than direct path decomposition",YES,R1/R6,"bilich2007snr; xie2011vehicular; beitler2015cmcd","NOAA-hosted paper: https://geodesy.noaa.gov/pub/abilich/papers/Bilich2007_skymap.pdf; ION record: https://www.ion.org/publications/abstract.cfm?articleID=9724; https://www.ion.org/publications/abstract.cfm?articleID=12644",YES,YES,"The sentence uses indicator language and does not claim that these observables are useless."
CV-04,Introduction,"High-resolution parameter extraction connects measured propagation data with path-level interpretation and channel modeling",YES,R3/R5,"fleury1999sage","Aalborg University record: https://vbn.aau.dk/en/publications/channel-parameter-estimation-in-mobile-radio-environments-using-t/; DOI: https://doi.org/10.1109/49.753729",YES,YES,"Supports the methodological background, not GNSS-specific performance."
CV-05,Methodology Section III,"SAGE is the space-alternating generalized expectation-maximization framework",YES,R4,"fessler1994sage","Crossref-indexed record: https://cir.nii.ac.jp/crid/1362262945233528704; DOI: https://doi.org/10.1109/78.324732",YES,YES,"Original/classic methodological citation used at first methodological description."
CV-06,Methodology Section III,"SAGE has been used for high-resolution delay/Doppler/amplitude-type propagation parameter estimation in mobile channels",YES,R5,"fleury1999sage","Aalborg University record and DOI listed for CV-04",YES,YES,"The manuscript does not claim to introduce SAGE or reproduce the reference experiment."
CV-07,Measurement and Experimental Setup Section II,"GNSS-SDR is a configurable software-defined GNSS receiver platform with access to intermediate products",YES,R7,"fernandez2011gnsssdr","ION publication record: https://www.ion.org/publications/abstract.cfm?articleID=9640",YES,YES,"Supports the platform description only."
CV-08,Measurement and Experimental Setup Section II,"GPS L1/C/A interface facts include the nominal L1 frequency and C/A/NAV signal structure",YES,R8,"gpsis200n2022","Official GPS specification: https://www.gps.gov/sites/default/files/2025-07/IS-GPS-200N.pdf; GPS technical references: https://navcen.uscg.gov/gps-technical-references",YES,YES,"The measured sample rate and IQ format remain project evidence facts; the standard citation supports signal-interface facts."
CV-09,Results and Conclusion,"Project-specific Stage0--Stage4 counts, confirmed paths, and bounded descriptive ranges",NO,INTERNAL_EVIDENCE,"project evidence package and claim matrix","docs/vtc2027_spring/evidence/manuscript_tables/experimental_evidence_summary.csv; docs/vtc2027_spring/evidence/manuscript_figures/path_characterization.csv; docs/vtc2027_spring/manuscript/claim_matrix_vtc_final_qa.csv",N/A,N/A,"No external citation is added to the paper's own measurements."
CV-10,Introduction/Conclusion,"No previous work has ever addressed the exact problem",NO,RESEARCH_GAP_CONTROL,"No such universal claim retained","Internal wording audit against the cited literature",N/A,N/A,"The manuscript uses a bounded challenge statement rather than an exhaustive-priority claim."
